Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,50,32,0.61,99,20
E,AT,Boston Celtics,47,35,0.573,95,6
E,AT,Philadelphia 76ers,41,41,0.5,66,0
E,AT,Brooklyn Nets,37,45,0.451,28,0
E,AT,New York Knicks,37,45,0.451,31,0
E,CE,Milwaukee Bucks,53,29,0.646,99,59
E,CE,Indiana Pacers,47,35,0.573,96,7
E,CE,Detroit Pistons,41,41,0.5,65,0
E,CE,Chicago Bulls,34,48,0.415,11,0
E,CE,Cleveland Cavaliers,33,49,0.402,8,0
E,SE,Charlotte Hornets,46,36,0.561,94,4
E,SE,Miami Heat,41,41,0.5,72,0
E,SE,Atlanta Hawks,34,48,0.415,12,0
E,SE,Orlando Magic,33,49,0.402,8,0
E,SE,Washington Wizards,33,49,0.402,8,0
W,NW,Denver Nuggets,49,33,0.598,96,19
W,NW,Portland Trail Blazers,47,35,0.573,92,11
W,NW,Utah Jazz,47,35,0.573,91,9
W,NW,Minnesota Timberwolves,38,44,0.463,22,0
W,NW,Oklahoma City Thunder,38,44,0.463,22,0
W,PA,Golden State Warriors,52,30,0.634,99,46
W,PA,Los Angeles Clippers,45,37,0.549,80,3
W,PA,Sacramento Kings,42,40,0.512,57,0
W,PA,Los Angeles Lakers,39,43,0.476,32,0
W,PA,Phoenix Suns,31,51,0.378,1,0
W,SW,Memphis Grizzlies,45,37,0.549,79,3
W,SW,New Orleans Pelicans,45,37,0.549,79,3
W,SW,San Antonio Spurs,40,42,0.488,35,0
W,SW,Dallas Mavericks,35,47,0.427,8,0
W,SW,Houston Rockets,32,50,0.39,1,0
