Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,51,31,0.622,99,37
E,AT,Philadelphia 76ers,44,38,0.537,91,2
E,AT,Boston Celtics,43,39,0.524,80,0
E,AT,Brooklyn Nets,39,43,0.476,50,0
E,AT,New York Knicks,33,49,0.402,7,0
E,CE,Milwaukee Bucks,52,30,0.634,99,49
E,CE,Indiana Pacers,45,37,0.549,93,4
E,CE,Detroit Pistons,41,41,0.5,71,0
E,CE,Chicago Bulls,32,50,0.39,4,0
E,CE,Cleveland Cavaliers,30,52,0.366,1,0
E,SE,Charlotte Hornets,45,37,0.549,91,3
E,SE,Orlando Magic,40,42,0.488,56,0
E,SE,Miami Heat,37,45,0.451,31,0
E,SE,Washington Wizards,36,46,0.439,20,0
E,SE,Atlanta Hawks,30,52,0.366,1,0
W,NW,Oklahoma City Thunder,47,35,0.573,87,19
W,NW,Denver Nuggets,46,36,0.561,84,14
W,NW,Portland Trail Blazers,46,36,0.561,84,14
W,NW,Utah Jazz,38,44,0.463,17,0
W,NW,Minnesota Timberwolves,36,46,0.439,7,0
W,PA,Golden State Warriors,46,36,0.561,80,11
W,PA,Los Angeles Clippers,46,36,0.561,82,12
W,PA,Los Angeles Lakers,43,39,0.524,60,4
W,PA,Sacramento Kings,41,41,0.5,39,1
W,PA,Phoenix Suns,30,52,0.366,0,0
W,SW,Memphis Grizzlies,46,36,0.561,82,14
W,SW,New Orleans Pelicans,43,39,0.524,62,3
W,SW,Houston Rockets,42,40,0.512,46,2
W,SW,Dallas Mavericks,41,41,0.5,35,1
W,SW,San Antonio Spurs,40,42,0.488,27,0
