Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,51,31,0.622,99,40
E,AT,Boston Celtics,45,37,0.549,91,3
E,AT,Brooklyn Nets,41,41,0.5,69,0
E,AT,Philadelphia 76ers,41,41,0.5,66,0
E,AT,New York Knicks,36,46,0.439,24,0
E,CE,Milwaukee Bucks,52,30,0.634,99,40
E,CE,Indiana Pacers,46,36,0.561,95,6
E,CE,Detroit Pistons,38,44,0.463,44,0
E,CE,Chicago Bulls,34,48,0.415,11,0
E,CE,Cleveland Cavaliers,30,52,0.366,2,0
E,SE,Charlotte Hornets,47,35,0.573,96,7
E,SE,Miami Heat,41,41,0.5,70,0
E,SE,Orlando Magic,35,47,0.427,13,0
E,SE,Atlanta Hawks,33,49,0.402,7,0
E,SE,Washington Wizards,33,49,0.402,6,0
W,NW,Denver Nuggets,51,31,0.622,98,27
W,NW,Portland Trail Blazers,49,33,0.598,97,15
W,NW,Oklahoma City Thunder,43,39,0.524,68,1
W,NW,Utah Jazz,40,42,0.488,42,0
W,NW,Minnesota Timberwolves,35,47,0.427,7,0
W,PA,Golden State Warriors,53,29,0.646,99,48
W,PA,Los Angeles Clippers,46,36,0.561,88,4
W,PA,Sacramento Kings,42,40,0.512,59,0
W,PA,Los Angeles Lakers,39,43,0.476,34,0
W,PA,Phoenix Suns,30,52,0.366,0,0
W,SW,Memphis Grizzlies,43,39,0.524,66,0
W,SW,San Antonio Spurs,43,39,0.524,73,1
W,SW,New Orleans Pelicans,39,43,0.476,32,0
W,SW,Houston Rockets,37,45,0.451,18,0
W,SW,Dallas Mavericks,36,46,0.439,12,0
