Conf,Div,Team,W,L,Pct,Playoffs,Top seed
E,AT,Toronto Raptors,50,32,0.61,99,26
E,AT,Boston Celtics,47,35,0.573,96,9
E,AT,Philadelphia 76ers,42,40,0.512,77,0
E,AT,New York Knicks,38,44,0.463,40,0
E,AT,Brooklyn Nets,37,45,0.451,28,0
E,CE,Milwaukee Bucks,52,30,0.634,99,47
E,CE,Indiana Pacers,47,35,0.573,97,10
E,CE,Detroit Pistons,40,42,0.488,63,0
E,CE,Chicago Bulls,34,48,0.415,11,0
E,CE,Cleveland Cavaliers,32,50,0.39,5,0
E,SE,Charlotte Hornets,44,38,0.537,90,3
E,SE,Miami Heat,41,41,0.5,73,0
E,SE,Atlanta Hawks,32,50,0.39,6,0
E,SE,Orlando Magic,32,50,0.39,4,0
E,SE,Washington Wizards,32,50,0.39,5,0
W,NW,Denver Nuggets,50,32,0.61,96,22
W,NW,Portland Trail Blazers,48,34,0.585,91,12
W,NW,Utah Jazz,43,39,0.524,64,1
W,NW,Oklahoma City Thunder,42,40,0.512,51,0
W,NW,Minnesota Timberwolves,37,45,0.451,14,0
W,PA,Golden State Warriors,52,30,0.634,99,47
W,PA,Los Angeles Clippers,45,37,0.549,78,3
W,PA,Sacramento Kings,45,37,0.549,74,2
W,PA,Los Angeles Lakers,40,42,0.488,30,0
W,PA,Phoenix Suns,30,52,0.366,0,0
W,SW,Memphis Grizzlies,46,36,0.561,82,5
W,SW,San Antonio Spurs,43,39,0.524,64,1
W,SW,New Orleans Pelicans,41,41,0.5,43,0
W,SW,Dallas Mavericks,34,48,0.415,3,0
W,SW,Houston Rockets,34,48,0.415,3,0
